Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Age,Filtered,Status
Odour2.1,40.1,Water1,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,15,No,1
Odour2.2,31.6,Water2,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,15,No,1
Odour2.3,4.3,Water3,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,15,No,1
Odour3.1,70.8,Familiar1,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,15,No,1
Odour3.2,46.3,Familiar2,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,15,No,1
Odour3.3,7.5,Familiar3,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,15,No,1
Odour1.1,13.4,Novel1,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,15,No,1
Odour1.2,8.5,Novel2,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,15,No,1
Odour1.3,13.6,Novel3,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,15,No,1
Odour2.1,19.2,Familiar1,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,15,No,1
Odour2.2,16.3,Familiar2,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,15,No,1
Odour2.3,16.1,Familiar3,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,15,No,1
Odour3.1,23,Water1,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,15,No,1
Odour3.2,19.3,Water2,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,15,No,1
Odour3.3,33,Water3,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,15,No,1
Odour1.1,2.5,Novel1,1645092997309_000000_20220217NFWTDP4392f,Manual,G,Male,15,No,0
Odour1.2,14.5,Novel2,1645092997309_000000_20220217NFWTDP4392f,Manual,G,Male,15,No,0
Odour1.3,6,Novel3,1645092997309_000000_20220217NFWTDP4392f,Manual,G,Male,15,No,0
Odour2.1,2.6,Familiar1,1645092997309_000000_20220217NFWTDP4392f,Manual,G,Male,15,No,0
Odour2.2,2.9,Familiar2,1645092997309_000000_20220217NFWTDP4392f,Manual,G,Male,15,No,0
Odour2.3,3,Familiar3,1645092997309_000000_20220217NFWTDP4392f,Manual,G,Male,15,No,0
Odour3.1,17.1,Water1,1645092997309_000000_20220217NFWTDP4392f,Manual,G,Male,15,No,1
Odour3.2,3.1,Water2,1645092997309_000000_20220217NFWTDP4392f,Manual,G,Male,15,No,1
