Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour2.3,16.1,Familiar3,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,Odour2.3,G,Familiar3,Familiar,3
Odour3.1,23,Water1,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,Odour3.1,G,Water1,Water,1
Odour3.2,19.3,Water2,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,Odour3.2,G,Water2,Water,2
Odour3.3,33,Water3,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,Odour3.3,G,Water3,Water,3
Odour3.1,17.1,Water1,1645092997309_000000_20220217NFWTDP4392f,Manual,G,Male,Odour3.1,G,Water1,Water,1
Odour3.2,3.1,Water2,1645092997309_000000_20220217NFWTDP4392f,Manual,G,Male,Odour3.2,G,Water2,Water,2
Odour3.3,4.6,Water3,1645092997309_000000_20220217NFWTDP4392f,Manual,G,Male,Odour3.3,G,Water3,Water,3
Odour1.1,16,Water1,1645095153167_000000_20220217WFNTDP4333n,Manual,H,Male,Odour1.1,H,Water1,Water,1
Odour1.2,17.8,Water2,1645095153167_000000_20220217WFNTDP4333n,Manual,H,Male,Odour1.2,H,Water2,Water,2
Odour1.3,1.1,Water3,1645095153167_000000_20220217WFNTDP4333n,Manual,H,Male,Odour1.3,H,Water3,Water,3
Odour2.1,58.7,Familiar1,1645095153167_000000_20220217WFNTDP4333n,Manual,H,Male,Odour2.1,H,Familiar1,Familiar,1
