Odour_presentation,Duration_sniffing,Odour_type_presentation,mouse_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour3.2,0.92,Water2,1671614382683_000000_20221221NFWC9ORF31d,ML,2,Female,Odour3.2,2,Water2,Water,2
Odour3.3,2.48,Water3,1671614382683_000000_20221221NFWC9ORF31d,ML,2,Female,Odour3.3,2,Water3,Water,3
Odour1.1,37.6,Novel1,1671614438865_000000_20221221NFWC9ORF42a,ML,2,Female,Odour1.1,2,Novel1,Novel,1
Odour1.2,41.12,Novel2,1671614438865_000000_20221221NFWC9ORF42a,ML,2,Female,Odour1.2,2,Novel2,Novel,2
Odour1.3,14.92,Novel3,1671614438865_000000_20221221NFWC9ORF42a,ML,2,Female,Odour1.3,2,Novel3,Novel,3
Odour2.1,25.04,Familiar1,1671614438865_000000_20221221NFWC9ORF42a,ML,2,Female,Odour2.1,2,Familiar1,Familiar,1
Odour2.2,0,Familiar2,1671614438865_000000_20221221NFWC9ORF42a,ML,2,Female,Odour2.2,2,Familiar2,Familiar,2
Odour2.3,0,Familiar3,1671614438865_000000_20221221NFWC9ORF42a,ML,2,Female,Odour2.3,2,Familiar3,Familiar,3
Odour3.1,19.28,Water1,1671614438865_000000_20221221NFWC9ORF42a,ML,2,Female,Odour3.1,2,Water1,Water,1
Odour3.2,11.44,Water2,1671614438865_000000_20221221NFWC9ORF42a,ML,2,Female,Odour3.2,2,Water2,Water,2
Odour3.3,0,Water3,1671614438865_000000_20221221NFWC9ORF42a,ML,2,Female,Odour3.3,2,Water3,Water,3
Odour1.1,46.84,Familiar1,1671614476569_000000_20221221FNWC9ORF31c,ML,4,Female,Odour1.1,4,Familiar1,Familiar,1
Odour1.2,45.88,Familiar2,1671614476569_000000_20221221FNWC9ORF31c,ML,4,Female,Odour1.2,4,Familiar2,Familiar,2
Odour1.3,89.32,Familiar3,1671614476569_000000_20221221FNWC9ORF31c,ML,4,Female,Odour1.3,4,Familiar3,Familiar,3
Odour2.1,63.88,Novel1,1671614476569_000000_20221221FNWC9ORF31c,ML,4,Female,Odour2.1,4,Novel1,Novel,1
Odour2.2,28.28,Novel2,1671614476569_000000_20221221FNWC9ORF31c,ML,4,Female,Odour2.2,4,Novel2,Novel,2
Odour2.3,6.48,Novel3,1671614476569_000000_20221221FNWC9ORF31c,ML,4,Female,Odour2.3,4,Novel3,Novel,3
Odour3.1,26.6,Water1,1671614476569_000000_20221221FNWC9ORF31c,ML,4,Female,Odour3.1,4,Water1,Water,1
Odour3.2,34.96,Water2,1671614476569_000000_20221221FNWC9ORF31c,ML,4,Female,Odour3.2,4,Water2,Water,2
Odour3.3,5.64,Water3,1671614476569_000000_20221221FNWC9ORF31c,ML,4,Female,Odour3.3,4,Water3,Water,3
Odour1.1,51.4,Familiar1,1671614539305_000000_20221221FNWC9ORF41a,ML,4,Female,Odour1.1,4,Familiar1,Familiar,1
Odour1.2,35.72,Familiar2,1671614539305_000000_20221221FNWC9ORF41a,ML,4,Female,Odour1.2,4,Familiar2,Familiar,2
Odour1.3,14.44,Familiar3,1671614539305_000000_20221221FNWC9ORF41a,ML,4,Female,Odour1.3,4,Familiar3,Familiar,3
Odour2.1,41.52,Novel1,1671614539305_000000_20221221FNWC9ORF41a,ML,4,Female,Odour2.1,4,Novel1,Novel,1
Odour2.2,52.4,Novel2,1671614539305_000000_20221221FNWC9ORF41a,ML,4,Female,Odour2.2,4,Novel2,Novel,2
Odour2.3,9.84,Novel3,1671614539305_000000_20221221FNWC9ORF41a,ML,4,Female,Odour2.3,4,Novel3,Novel,3
Odour3.1,26,Water1,1671614539305_000000_20221221FNWC9ORF41a,ML,4,Female,Odour3.1,4,Water1,Water,1
Odour3.2,58.32,Water2,1671614539305_000000_20221221FNWC9ORF41a,ML,4,Female,Odour3.2,4,Water2,Water,2
Odour3.3,13.28,Water3,1671614539305_000000_20221221FNWC9ORF41a,ML,4,Female,Odour3.3,4,Water3,Water,3
Odour1.1,34.68,Familiar1,1671614575601_000000_20221221FNWC9ORF31e,ML,4,Female,Odour1.1,4,Familiar1,Familiar,1
Odour1.2,24.04,Familiar2,1671614575601_000000_20221221FNWC9ORF31e,ML,4,Female,Odour1.2,4,Familiar2,Familiar,2
Odour1.3,19.96,Familiar3,1671614575601_000000_20221221FNWC9ORF31e,ML,4,Female,Odour1.3,4,Familiar3,Familiar,3
Odour3.1,22.24,Water1,1671614575601_000000_20221221FNWC9ORF31e,ML,4,Female,Odour3.1,4,Water1,Water,1
Odour3.2,8.56,Water2,1671614575601_000000_20221221FNWC9ORF31e,ML,4,Female,Odour3.2,4,Water2,Water,2
Odour3.3,5.92,Water3,1671614575601_000000_20221221FNWC9ORF31e,ML,4,Female,Odour3.3,4,Water3,Water,3
Odour1.1,31.8,Familiar1,1671620561756_000000_20221221FNWC9ORF14e,ML,2,Male,Odour1.1,2,Familiar1,Familiar,1
Odour1.2,37.68,Familiar2,1671620561756_000000_20221221FNWC9ORF14e,ML,2,Male,Odour1.2,2,Familiar2,Familiar,2
Odour1.3,4.8,Familiar3,1671620561756_000000_20221221FNWC9ORF14e,ML,2,Male,Odour1.3,2,Familiar3,Familiar,3
Odour2.1,95.56,Novel1,1671620561756_000000_20221221FNWC9ORF14e,ML,2,Male,Odour2.1,2,Novel1,Novel,1
Odour2.2,40.28,Novel2,1671620561756_000000_20221221FNWC9ORF14e,ML,2,Male,Odour2.2,2,Novel2,Novel,2
Odour2.3,12.56,Novel3,1671620561756_000000_20221221FNWC9ORF14e,ML,2,Male,Odour2.3,2,Novel3,Novel,3
